tm     Tsp    T1     Q1    
   0.0  20.95  20.95   0.00   2.05
   5.0  20.95  20.95   0.00   2.05
   6.0  20.95  20.63   0.13   2.10
   7.0  20.95  20.95   0.13   2.12
   8.0  20.95  20.95   0.13   2.13
   9.0  20.95  20.95   0.14   2.12
  10.0  20.95  20.95   0.14   2.11
  11.0  20.95  20.95   0.14   2.10
  12.0  20.95  20.95   0.14   2.09
  13.0  20.95  20.95   0.14   2.08
  14.0  20.95  20.95   0.14   2.08
  15.0  20.95  20.63   0.28   2.13
  16.0  20.95  20.95   0.28   2.15
  17.0  20.95  20.95   0.28   2.15
  18.0  20.95  20.95   0.29   2.14
  19.0  20.95  20.95   0.29   2.13
  20.0  20.95  20.95   0.29   2.12
  21.0  20.95  20.95   0.17   2.09
  22.0  20.95  20.95   0.17   2.08
  23.0  20.95  20.95   0.17   2.08
  24.0  20.95  20.95   0.17   2.08
  25.0  20.95  20.95   0.17   2.07
  26.0  20.95  20.95   0.18   2.07
  27.0  20.95  20.95   0.18   2.07
  28.0  20.95  20.63   0.31   2.12
  29.0  20.95  20.95   0.31   2.14
  30.0  63.00  20.95  17.23  23.29
  31.0  63.00  20.95  34.50  50.01
  32.0  63.00  20.95  52.00  73.61
  33.0  63.00  20.95  69.71  90.34
  34.0  63.00  20.95  87.66 100.00
  35.0  63.00  20.95 100.00 100.00
  36.0  63.00  20.95 100.00 100.00
  37.0  63.00  20.95 100.00 100.00
  38.0  63.00  21.27 100.00 100.00
  39.0  63.00  21.27 100.00 100.00
  40.0  63.00  21.27 100.00 100.00
  41.0  63.00  21.59 100.00 100.00
  42.0  63.00  21.59 100.00 100.00
  43.0  63.00  21.92 100.00 100.00
  44.0  63.00  21.92 100.00 100.00
  45.0  63.00  22.24 100.00 100.00
  46.0  63.00  22.56 100.00 100.00
  47.0  63.00  22.56 100.00 100.00
  48.0  63.00  22.88 100.00 100.00
  49.0  63.00  23.21 100.00 100.00
  50.0  63.00  23.53 100.00 100.00
  51.0  63.00  23.53 100.00 100.00
  52.0  63.00  23.85 100.00 100.00
  53.0  63.00  24.17 100.00 100.00
  54.0  63.00  24.49 100.00 100.00
  55.0  63.00  24.82 100.00 100.00
  56.0  63.00  25.14 100.00 100.00
  57.0  63.00  25.14 100.00 100.00
